Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.8,0.2,50.0,1000,162232,8763,73,49731.082031,0.001468
2,1000,0.8,0.2,50.0,1000,162552,8759,70,49489.316406,0.001414
3,1000,0.8,0.2,50.0,1000,161726,8792,57,49359.109375,0.001155
4,1000,0.8,0.2,50.0,1000,154959,8684,61,48834.281250,0.001249
5,1000,0.8,0.2,50.0,1000,165277,8753,60,49744.207031,0.001206
6,1000,0.8,0.2,50.0,1000,158888,8693,74,48898.093750,0.001513
7,1000,0.8,0.2,50.0,1000,162577,8920,71,50678.546875,0.001401
8,1000,0.8,0.2,50.0,1000,161773,8962,71,50707.066406,0.001400
9,1000,0.8,0.2,50.0,1000,153774,8850,77,49995.109375,0.001540
10,1000,0.8,0.2,50.0,1000,152562,8572,54,48477.476562,0.001114
