Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.8,0.2,50.0,1000,319174,8754,54,49658.312500,0.001087
2,1000,0.8,0.2,50.0,1000,331222,8795,64,49657.222656,0.001289
3,1000,0.8,0.2,50.0,1000,330514,8917,45,50027.472656,0.000900
4,1000,0.8,0.2,50.0,1000,321920,8717,57,49089.585938,0.001161
5,1000,0.8,0.2,50.0,1000,326372,8693,61,49368.652344,0.001236
6,1000,0.8,0.2,50.0,1000,307576,8606,71,48453.945312,0.001465
7,1000,0.8,0.2,50.0,1000,331412,8835,64,50170.515625,0.001276
8,1000,0.8,0.2,50.0,1000,336129,8754,71,49629.355469,0.001431
9,1000,0.8,0.2,50.0,1000,317874,8842,68,49940.820312,0.001362
10,1000,0.8,0.2,50.0,1000,312400,8784,47,49644.476562,0.000947
