Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.8,0.2,50.0,1000,10978,2240,315,50339.894531,0.006257
2,1000,0.8,0.2,50.0,1000,11217,2232,335,50989.953125,0.006570
3,1000,0.8,0.2,50.0,1000,11484,2297,345,49490.460938,0.006971
4,1000,0.8,0.2,50.0,1000,11360,2345,372,50344.640625,0.007389
5,1000,0.8,0.2,50.0,1000,10367,2038,330,50595.437500,0.006522
6,1000,0.8,0.2,50.0,1000,11011,2273,330,50831.515625,0.006492
7,1000,0.8,0.2,50.0,1000,10202,1983,295,50417.835938,0.005851
8,1000,0.8,0.2,50.0,1000,10461,2138,321,49676.457031,0.006462
9,1000,0.8,0.2,50.0,1000,11051,2208,343,49444.398438,0.006937
10,1000,0.8,0.2,50.0,1000,10519,2133,318,48624.777344,0.006540
