Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.8,0.2,50.0,1000,254521,8464,527,50950.546875,0.010343
2,1000,0.8,0.2,50.0,1000,258048,8354,466,49163.046875,0.009479
3,1000,0.8,0.2,50.0,1000,299909,8594,378,48566.281250,0.007783
4,1000,0.8,0.2,50.0,1000,73802,7267,857,51760.929688,0.016557
5,1000,0.8,0.2,50.0,1000,80310,7351,843,50341.105469,0.016746
6,1000,0.8,0.2,50.0,1000,72839,7537,859,49605.574219,0.017317
7,1000,0.8,0.2,50.0,1000,125283,7625,769,50869.812500,0.015117
8,1000,0.8,0.2,50.0,1000,33993,6760,985,50317.890625,0.019576
9,1000,0.8,0.2,50.0,1000,300103,8588,398,50082.179688,0.007947
10,1000,0.8,0.2,50.0,1000,159274,8070,705,51518.750000,0.013684
