Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.8,0.2,50.0,1000,86294,8824,97,50073.699219,0.001937
2,1000,0.8,0.2,50.0,1000,80688,8447,84,47852.027344,0.001755
3,1000,0.8,0.2,50.0,1000,83311,8688,92,48774.222656,0.001886
4,1000,0.8,0.2,50.0,1000,84207,8549,75,48212.492188,0.001556
5,1000,0.8,0.2,50.0,1000,84473,8695,87,49333.621094,0.001764
6,1000,0.8,0.2,50.0,1000,87657,8781,122,49473.449219,0.002466
7,1000,0.8,0.2,50.0,1000,85269,8522,94,48434.480469,0.001941
8,1000,0.8,0.2,50.0,1000,84330,8871,122,50108.773438,0.002435
9,1000,0.8,0.2,50.0,1000,84510,8799,91,49841.421875,0.001826
10,1000,0.8,0.2,50.0,1000,82642,8844,91,49898.523438,0.001824
