Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.8,0.2,50.0,1000,373541,8359,527,50354.445312,0.010466
2,1000,0.8,0.2,50.0,1000,464180,8343,466,49092.988281,0.009492
3,1000,0.8,0.2,50.0,1000,593261,8867,382,50085.535156,0.007627
4,1000,0.8,0.2,50.0,1000,73802,7267,857,51760.929688,0.016557
5,1000,0.8,0.2,50.0,1000,80310,7351,843,50341.105469,0.016746
6,1000,0.8,0.2,50.0,1000,72839,7537,859,49605.574219,0.017317
7,1000,0.8,0.2,50.0,1000,129314,7516,768,50290.992188,0.015271
8,1000,0.8,0.2,50.0,1000,33993,6760,985,50317.890625,0.019576
9,1000,0.8,0.2,50.0,1000,552842,8559,398,49904.761719,0.007975
10,1000,0.8,0.2,50.0,1000,186543,8073,705,51540.031250,0.013679
