Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.4,0.2,50.0,1000,3686,2196,999,49883.207031,0.020027
2,1000,0.4,0.2,50.0,1000,3749,2232,999,50497.363281,0.019783
3,1000,0.4,0.2,50.0,1000,3820,2301,998,48858.433594,0.020426
4,1000,0.4,0.2,50.0,1000,3498,2140,999,49661.882812,0.020116
5,1000,0.4,0.2,50.0,1000,3672,2217,998,49940.886719,0.019984
6,1000,0.4,0.2,50.0,1000,3550,2120,999,50532.414062,0.019769
7,1000,0.4,0.2,50.0,1000,3751,2237,999,50244.976562,0.019883
8,1000,0.4,0.2,50.0,1000,3607,2204,999,50216.070312,0.019894
9,1000,0.4,0.2,50.0,1000,3678,2192,999,48776.062500,0.020481
10,1000,0.4,0.2,50.0,1000,3730,2279,998,50581.164062,0.019731
