Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.1,0.2,50.0,1000,1648,1475,998,50998.289062,0.019569
2,1000,0.1,0.2,50.0,1000,1662,1511,999,50311.984375,0.019856
3,1000,0.1,0.2,50.0,1000,1729,1538,999,48699.339844,0.020514
4,1000,0.1,0.2,50.0,1000,1635,1462,998,51160.531250,0.019507
5,1000,0.1,0.2,50.0,1000,1595,1443,999,50470.527344,0.019794
6,1000,0.1,0.2,50.0,1000,1603,1456,999,50437.820312,0.019807
7,1000,0.1,0.2,50.0,1000,1692,1498,998,51139.011719,0.019515
8,1000,0.1,0.2,50.0,1000,1610,1474,999,51827.218750,0.019276
9,1000,0.1,0.2,50.0,1000,1693,1513,999,50253.714844,0.019879
10,1000,0.1,0.2,50.0,1000,1629,1475,999,47984.925781,0.020819
