Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.5,0.2,50.0,1000,38974,8886,117,51244.261719,0.002283
2,1000,0.5,0.2,50.0,1000,38712,8878,99,51169.683594,0.001935
3,1000,0.5,0.2,50.0,1000,38763,8825,87,49930.054688,0.001742
4,1000,0.5,0.2,50.0,1000,40511,8695,109,50605.757812,0.002154
5,1000,0.5,0.2,50.0,1000,37304,8756,91,49745.906250,0.001829
6,1000,0.5,0.2,50.0,1000,35311,8849,101,50221.750000,0.002011
7,1000,0.5,0.2,50.0,1000,36058,8704,117,48784.906250,0.002398
8,1000,0.5,0.2,50.0,1000,36652,8785,126,51030.054688,0.002469
9,1000,0.5,0.2,50.0,1000,36719,8801,93,49866.316406,0.001865
10,1000,0.5,0.2,50.0,1000,40690,8805,128,51957.781250,0.002464
