Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.6,0.2,50.0,1000,8223,3316,998,50715.398438,0.019678
2,1000,0.6,0.2,50.0,1000,8196,3239,974,48472.707031,0.020094
3,1000,0.6,0.2,50.0,1000,8597,3469,997,50260.500000,0.019837
4,1000,0.6,0.2,50.0,1000,8134,3297,998,50595.160156,0.019725
5,1000,0.6,0.2,50.0,1000,8379,3394,999,49842.035156,0.020043
6,1000,0.6,0.2,50.0,1000,7825,3126,999,49577.714844,0.020150
7,1000,0.6,0.2,50.0,1000,8540,3357,996,48130.566406,0.020694
8,1000,0.6,0.2,50.0,1000,8317,3310,998,50465.175781,0.019776
9,1000,0.6,0.2,50.0,1000,8413,3298,998,49777.277344,0.020049
10,1000,0.6,0.2,50.0,1000,8325,3321,999,50503.558594,0.019781
