Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.5,0.2,50.0,1000,5379,2707,997,49954.234375,0.019958
2,1000,0.5,0.2,50.0,1000,5557,2771,999,50329.984375,0.019849
3,1000,0.5,0.2,50.0,1000,5628,2795,995,49227.902344,0.020212
4,1000,0.5,0.2,50.0,1000,5011,2556,999,49845.472656,0.020042
5,1000,0.5,0.2,50.0,1000,5359,2668,999,49009.171875,0.020384
6,1000,0.5,0.2,50.0,1000,5131,2598,996,51011.191406,0.019525
7,1000,0.5,0.2,50.0,1000,5343,2593,998,50209.128906,0.019877
8,1000,0.5,0.2,50.0,1000,5185,2589,999,49041.726562,0.020370
9,1000,0.5,0.2,50.0,1000,5568,2772,998,48922.906250,0.020399
10,1000,0.5,0.2,50.0,1000,5497,2719,999,50577.964844,0.019752
