Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.2,0.2,50.0,1000,9426,7551,270,50272.128906,0.005371
2,1000,0.2,0.2,50.0,1000,11043,8611,123,50353.070312,0.002443
3,1000,0.2,0.2,50.0,1000,7923,6067,461,50850.281250,0.009066
4,1000,0.2,0.2,50.0,1000,11417,8139,152,49863.195312,0.003048
5,1000,0.2,0.2,50.0,1000,9968,6425,383,49741.531250,0.007700
6,1000,0.2,0.2,50.0,1000,3248,2598,966,51669.667969,0.018696
7,1000,0.2,0.2,50.0,1000,9958,7655,235,49808.300781,0.004718
8,1000,0.2,0.2,50.0,1000,4746,3737,838,51498.312500,0.016272
9,1000,0.2,0.2,50.0,1000,11384,8806,109,51441.359375,0.002119
10,1000,0.2,0.2,50.0,1000,3960,3089,861,49508.250000,0.017391
