Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.5,0.2,50.0,1000,8094,4044,620,50501.015625,0.012277
2,1000,0.5,0.2,50.0,1000,8045,3987,652,50197.527344,0.012989
3,1000,0.5,0.2,50.0,1000,8140,4049,617,49514.792969,0.012461
4,1000,0.5,0.2,50.0,1000,8320,4174,639,50704.964844,0.012602
5,1000,0.5,0.2,50.0,1000,8007,4030,679,49078.726562,0.013835
6,1000,0.5,0.2,50.0,1000,8134,4087,595,50277.464844,0.011834
7,1000,0.5,0.2,50.0,1000,8434,4242,582,49020.671875,0.011873
8,1000,0.5,0.2,50.0,1000,8234,4133,609,51129.847656,0.011911
9,1000,0.5,0.2,50.0,1000,8243,4085,665,50460.441406,0.013179
10,1000,0.5,0.2,50.0,1000,8067,4057,661,50629.496094,0.013056
