Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.5,0.2,50.0,1000,71135,8636,91,49791.535156,0.001828
2,1000,0.5,0.2,50.0,1000,74069,8752,102,50640.277344,0.002014
3,1000,0.5,0.2,50.0,1000,68141,8410,75,47688.542969,0.001573
4,1000,0.5,0.2,50.0,1000,72052,8952,97,52019.406250,0.001865
5,1000,0.5,0.2,50.0,1000,72039,8835,86,50264.363281,0.001711
6,1000,0.5,0.2,50.0,1000,71718,8990,103,51004.847656,0.002019
7,1000,0.5,0.2,50.0,1000,71793,8860,84,49651.222656,0.001692
8,1000,0.5,0.2,50.0,1000,61293,8438,114,48994.636719,0.002327
9,1000,0.5,0.2,50.0,1000,72015,8568,83,48569.277344,0.001709
10,1000,0.5,0.2,50.0,1000,76054,8682,117,51426.808594,0.002275
