Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.2,0.2,50.0,1000,3186,2519,950,48138.234375,0.019735
2,1000,0.2,0.2,50.0,1000,3980,3231,878,48245.863281,0.018198
3,1000,0.2,0.2,50.0,1000,3437,2725,926,49677.472656,0.018640
4,1000,0.2,0.2,50.0,1000,3067,2452,975,50742.992188,0.019214
5,1000,0.2,0.2,50.0,1000,2974,2369,978,49927.109375,0.019589
6,1000,0.2,0.2,50.0,1000,2898,2322,980,51734.980469,0.018943
7,1000,0.2,0.2,50.0,1000,2954,2353,968,49100.269531,0.019715
8,1000,0.2,0.2,50.0,1000,2869,2318,959,51405.367188,0.018656
9,1000,0.2,0.2,50.0,1000,3428,2718,933,49576.417969,0.018819
10,1000,0.2,0.2,50.0,1000,2805,2248,958,49848.695312,0.019218
