Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.6,0.2,50.0,1000,8098,3233,996,49744.414062,0.020022
2,1000,0.6,0.2,50.0,1000,8336,3289,999,48443.820312,0.020622
3,1000,0.6,0.2,50.0,1000,8572,3439,999,49392.683594,0.020226
4,1000,0.6,0.2,50.0,1000,7911,3197,999,50439.796875,0.019806
5,1000,0.6,0.2,50.0,1000,8494,3418,999,50280.886719,0.019868
6,1000,0.6,0.2,50.0,1000,7997,3226,996,50965.957031,0.019542
7,1000,0.6,0.2,50.0,1000,8316,3278,998,49134.984375,0.020311
8,1000,0.6,0.2,50.0,1000,8260,3303,999,49704.835938,0.020099
9,1000,0.6,0.2,50.0,1000,8440,3330,998,49194.359375,0.020287
10,1000,0.6,0.2,50.0,1000,8554,3441,999,51319.800781,0.019466
