Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.4,0.2,50.0,1000,6547,3917,719,49296.453125,0.014585
2,1000,0.4,0.2,50.0,1000,6958,4161,674,49282.066406,0.013676
3,1000,0.4,0.2,50.0,1000,6391,3788,760,49613.546875,0.015318
4,1000,0.4,0.2,50.0,1000,6435,3860,776,50132.820312,0.015479
5,1000,0.4,0.2,50.0,1000,6739,4046,749,51177.304688,0.014635
6,1000,0.4,0.2,50.0,1000,6167,3716,748,50738.878906,0.014742
7,1000,0.4,0.2,50.0,1000,6252,3797,782,49267.156250,0.015873
8,1000,0.4,0.2,50.0,1000,6053,3710,759,48981.019531,0.015496
9,1000,0.4,0.2,50.0,1000,6622,4025,709,48257.386719,0.014692
10,1000,0.4,0.2,50.0,1000,6340,3808,712,50403.421875,0.014126
