Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.4,0.2,50.0,1000,3682,2192,999,49837.609375,0.020045
2,1000,0.4,0.2,50.0,1000,3747,2228,999,50322.613281,0.019852
3,1000,0.4,0.2,50.0,1000,3820,2300,999,48888.144531,0.020434
4,1000,0.4,0.2,50.0,1000,3498,2140,999,49661.882812,0.020116
5,1000,0.4,0.2,50.0,1000,3672,2217,998,49940.886719,0.019984
6,1000,0.4,0.2,50.0,1000,3550,2120,999,50532.414062,0.019769
7,1000,0.4,0.2,50.0,1000,3750,2237,999,50244.976562,0.019883
8,1000,0.4,0.2,50.0,1000,3607,2204,999,50216.070312,0.019894
9,1000,0.4,0.2,50.0,1000,3678,2192,999,48776.062500,0.020481
10,1000,0.4,0.2,50.0,1000,3729,2283,999,50606.261719,0.019741
