Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.4,0.2,50.0,1000,12695,7490,280,49563.296875,0.005649
2,1000,0.4,0.2,50.0,1000,13291,7982,268,50926.792969,0.005262
3,1000,0.4,0.2,50.0,1000,12648,7504,266,49387.769531,0.005386
4,1000,0.4,0.2,50.0,1000,12867,7635,308,49723.359375,0.006194
5,1000,0.4,0.2,50.0,1000,12765,7655,261,49736.781250,0.005248
6,1000,0.4,0.2,50.0,1000,12421,7480,306,49293.687500,0.006208
7,1000,0.4,0.2,50.0,1000,12193,7285,295,48045.007812,0.006140
8,1000,0.4,0.2,50.0,1000,12858,7682,302,50977.429688,0.005924
9,1000,0.4,0.2,50.0,1000,12276,7331,328,49453.273438,0.006633
10,1000,0.4,0.2,50.0,1000,12480,7495,337,50805.253906,0.006633
