Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.2,0.2,50.0,1000,9337,7389,294,49967.625000,0.005884
2,1000,0.2,0.2,50.0,1000,10718,8598,157,50810.968750,0.003090
3,1000,0.2,0.2,50.0,1000,7473,5999,487,50676.433594,0.009610
4,1000,0.2,0.2,50.0,1000,10094,7993,196,49337.968750,0.003973
5,1000,0.2,0.2,50.0,1000,7588,6036,424,47880.015625,0.008855
6,1000,0.2,0.2,50.0,1000,3248,2598,966,51669.667969,0.018696
7,1000,0.2,0.2,50.0,1000,9996,7756,269,50841.722656,0.005291
8,1000,0.2,0.2,50.0,1000,4746,3737,838,51498.312500,0.016272
9,1000,0.2,0.2,50.0,1000,10929,8618,150,51155.070312,0.002932
10,1000,0.2,0.2,50.0,1000,3960,3089,861,49508.250000,0.017391
