Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.8,0.2,50.0,1000,70176,7931,507,48101.652344,0.010540
2,1000,0.8,0.2,50.0,1000,65079,8228,529,49801.335938,0.010622
3,1000,0.8,0.2,50.0,1000,66046,8225,427,49630.347656,0.008604
4,1000,0.8,0.2,50.0,1000,56853,7873,601,48995.089844,0.012267
5,1000,0.8,0.2,50.0,1000,77147,8296,424,50149.175781,0.008455
6,1000,0.8,0.2,50.0,1000,70949,8050,477,50891.550781,0.009373
7,1000,0.8,0.2,50.0,1000,68930,8565,539,50694.640625,0.010632
8,1000,0.8,0.2,50.0,1000,34520,6788,961,50505.445312,0.019028
9,1000,0.8,0.2,50.0,1000,89200,8593,334,50258.039062,0.006646
10,1000,0.8,0.2,50.0,1000,76800,8699,405,50941.515625,0.007950
