Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.5,0.2,50.0,1000,22057,8445,155,48913.496094,0.003169
2,1000,0.5,0.2,50.0,1000,21749,8606,179,49648.878906,0.003605
3,1000,0.5,0.2,50.0,1000,20496,8675,129,49360.011719,0.002613
4,1000,0.5,0.2,50.0,1000,23753,8686,167,50731.882812,0.003292
5,1000,0.5,0.2,50.0,1000,21276,8721,126,49598.675781,0.002540
6,1000,0.5,0.2,50.0,1000,21330,8742,146,49877.417969,0.002927
7,1000,0.5,0.2,50.0,1000,19851,8795,146,49555.031250,0.002946
8,1000,0.5,0.2,50.0,1000,21577,8619,158,50251.414062,0.003144
9,1000,0.5,0.2,50.0,1000,19657,8795,126,49905.289062,0.002525
10,1000,0.5,0.2,50.0,1000,20777,8720,163,51441.042969,0.003169
