Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.5,0.2,50.0,1000,5370,2702,998,49866.664062,0.020013
2,1000,0.5,0.2,50.0,1000,5457,2723,999,49903.554688,0.020019
3,1000,0.5,0.2,50.0,1000,5743,2838,996,48858.574219,0.020385
4,1000,0.5,0.2,50.0,1000,4958,2513,999,49839.796875,0.020044
5,1000,0.5,0.2,50.0,1000,5384,2668,999,49895.140625,0.020022
6,1000,0.5,0.2,50.0,1000,5206,2645,999,52086.343750,0.019180
7,1000,0.5,0.2,50.0,1000,5276,2568,998,49186.425781,0.020290
8,1000,0.5,0.2,50.0,1000,5176,2589,999,49457.070312,0.020199
9,1000,0.5,0.2,50.0,1000,5434,2720,999,48558.449219,0.020573
10,1000,0.5,0.2,50.0,1000,5472,2700,999,50472.621094,0.019793
