Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.2,0.2,50.0,1000,8123,6466,468,48186.500000,0.009712
2,1000,0.2,0.2,50.0,1000,9170,7389,328,49063.371094,0.006685
3,1000,0.2,0.2,50.0,1000,7130,5710,594,51305.570312,0.011578
4,1000,0.2,0.2,50.0,1000,9156,7289,375,50199.082031,0.007470
5,1000,0.2,0.2,50.0,1000,7230,5781,573,49432.199219,0.011592
6,1000,0.2,0.2,50.0,1000,3248,2598,966,51669.667969,0.018696
7,1000,0.2,0.2,50.0,1000,8407,6667,410,48150.660156,0.008515
8,1000,0.2,0.2,50.0,1000,4557,3662,866,51494.726562,0.016817
9,1000,0.2,0.2,50.0,1000,9394,7450,325,49113.839844,0.006617
10,1000,0.2,0.2,50.0,1000,3748,3007,870,49277.972656,0.017655
