Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.2,0.2,50.0,1000,1664,1326,13,50207.382812,0.000259
2,1000,0.2,0.2,50.0,1000,1606,1285,0,48228.351562,0.000000
3,1000,0.2,0.2,50.0,1000,1680,1327,4,50511.746094,0.000079
4,1000,0.2,0.2,50.0,1000,1677,1316,4,50372.894531,0.000079
5,1000,0.2,0.2,50.0,1000,1677,1358,4,50364.046875,0.000079
6,1000,0.2,0.2,50.0,1000,1670,1346,2,50204.175781,0.000040
7,1000,0.2,0.2,50.0,1000,1632,1296,0,49014.738281,0.000000
8,1000,0.2,0.2,50.0,1000,1670,1355,7,50298.910156,0.000139
9,1000,0.2,0.2,50.0,1000,1624,1303,11,48856.125000,0.000225
10,1000,0.2,0.2,50.0,1000,1668,1320,1,50118.531250,0.000020
