Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.2,0.2,50.0,1000,9171,7301,362,50524.031250,0.007165
2,1000,0.2,0.2,50.0,1000,10164,8188,230,50384.429688,0.004565
3,1000,0.2,0.2,50.0,1000,7584,6062,542,51800.855469,0.010463
4,1000,0.2,0.2,50.0,1000,9958,7939,228,50543.574219,0.004511
5,1000,0.2,0.2,50.0,1000,7779,6133,482,49466.425781,0.009744
6,1000,0.2,0.2,50.0,1000,3248,2598,966,51669.667969,0.018696
7,1000,0.2,0.2,50.0,1000,9489,7534,349,50689.656250,0.006885
8,1000,0.2,0.2,50.0,1000,4717,3750,840,51579.054688,0.016286
9,1000,0.2,0.2,50.0,1000,10186,8106,227,49770.132812,0.004561
10,1000,0.2,0.2,50.0,1000,3806,3047,860,49417.886719,0.017403
